Direction,Timestamp,Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Length
Incoming,2026-07-29 00:29:13,172.20.10.2,239.255.255.250,UDP,49969,1900,215
Incoming,2026-07-29 00:29:14,172.20.10.2,239.255.255.250,UDP,49969,1900,215
Incoming,2026-07-29 00:29:19,172.20.10.2,172.20.10.1,UDP,41602,53,77
Incoming,2026-07-29 00:29:19,172.20.10.2,172.20.10.1,UDP,41602,53,77
Incoming,2026-07-29 00:29:19,172.20.10.1,172.20.10.2,UDP,53,41602,223
Incoming,2026-07-29 00:29:22,172.20.10.2,140.82.113.26,TCP,54114,443,66
Incoming,2026-07-29 00:29:23,140.82.113.26,172.20.10.2,TCP,443,54114,66
Incoming,2026-07-29 00:29:24,172.20.10.2,172.20.10.1,UDP,41602,53,77
Incoming,2026-07-29 00:29:24,172.20.10.1,172.20.10.2,UDP,53,41602,367
Incoming,2026-07-29 00:29:24,172.20.10.2,172.20.10.1,UDP,41602,53,77
Incoming,2026-07-29 00:29:24,172.20.10.1,172.20.10.2,UDP,53,41602,223
